stim,type,encoding_trials_block.thisRepN,encoding_trials_block.thisTrialN,encoding_trials_block.thisN,encoding_trials_block.thisIndex,rcg_block.thisRepN,rcg_block.thisTrialN,rcg_block.thisN,rcg_block.thisIndex,welcome_text.started,welcome_text.stopped,welcome_resp.keys,welcome_resp.rt,welcome_resp.started,welcome_resp.stopped,fixation.started,fixation.stopped,encoding_img.started,encoding_img.stopped,recognition_img.started,recognition_img.stopped,recognition_img_resp.keys,recognition_img_resp.rt,recognition_img_resp.started,recognition_img_resp.stopped,recognition_resp_prompt_main.started,recognition_resp_prompt_main.stopped,recognition_resp_prompt_options.started,recognition_resp_prompt_options.stopped,confidence_resp_prompt_main.started,confidence_resp_prompt_main.stopped,confidence_ratebar.started,confidence_ratebar.stopped,confidence_resp.keys,confidence_resp.rt,confidence_resp.started,confidence_resp.stopped,participant,date,expName,psychopyVersion,frameRate,
SetC/145a.jpg,,0,25,25,25,,,,,,,,,,,113.15704731096048,None,113.65685267397203,None,,,,,,,,,,,,,,,,,,,40023,2022_Aug_08_1348,mstfoil,2022.1.3,59.84332837422037,
SetD/027a.jpg,,0,26,26,26,,,,,,,,,,,115.65813990402967,None,116.15707664494403,None,,,,,,,,,,,,,,,,,,,40023,2022_Aug_08_1348,mstfoil,2022.1.3,59.84332837422037,
SetC/052a.jpg,,0,27,27,27,,,,,,,,,,,118.14170521101914,None,118.6419463059865,None,,,,,,,,,,,,,,,,,,,40023,2022_Aug_08_1348,mstfoil,2022.1.3,59.84332837422037,
SetD/010a.jpg,,0,28,28,28,,,,,,,,,,,120.64264578802977,None,121.14249175798614,None,,,,,,,,,,,,,,,,,,,40023,2022_Aug_08_1348,mstfoil,2022.1.3,59.84332837422037,
SetD/003a.jpg,,0,29,29,29,,,,,,,,,,,123.1428518689936,None,123.64213480299804,None,,,,,,,,,,,,,,,,,,,40023,2022_Aug_08_1348,mstfoil,2022.1.3,59.84332837422037,
SetD/096a.jpg,,0,30,30,30,,,,,,,,,,,125.64441725995857,None,126.14318304497283,None,,,,,,,,,,,,,,,,,,,40023,2022_Aug_08_1348,mstfoil,2022.1.3,59.84332837422037,
SetC/089a.jpg,,0,31,31,31,,,,,,,,,,,128.14396574895363,None,128.64448151900433,None,,,,,,,,,,,,,,,,,,,40023,2022_Aug_08_1348,mstfoil,2022.1.3,59.84332837422037,
SetD/106a.jpg,,0,32,32,32,,,,,,,,,,,130.64454422495328,None,131.14527785300743,None,,,,,,,,,,,,,,,,,,,40023,2022_Aug_08_1348,mstfoil,2022.1.3,59.84332837422037,
SetC/030a.jpg,,0,33,33,33,,,,,,,,,,,133.1454806709662,None,133.64517853793222,None,,,,,,,,,,,,,,,,,,,40023,2022_Aug_08_1348,mstfoil,2022.1.3,59.84332837422037,
SetD/101a.jpg,,0,34,34,34,,,,,,,,,,,135.64675763598643,None,136.14602675801143,None,,,,,,,,,,,,,,,,,,,40023,2022_Aug_08_1348,mstfoil,2022.1.3,59.84332837422037,
