trial_type	recog_resp	recog_resp_time	confi_resp	confi_resp_time	stim_file	performance
targ	h	7.627231137943454	h	3.9138264959910884	SetC/187a.jpg	correct
foil	k	3.699137089890428	j	2.2917156419716775	SetC/192a.jpg	correct
targ	h	3.658518107025884	h	1.5722693050047383	SetD/028a.jpg	correct
foil	j	8.116056056926027	k	2.3776600399287418	SetC/033a.jpg	incorrect
lure	h	3.6623076539253816	h	1.4623301849933341	SetC/052b.jpg	incorrect
targ	h	3.1114438379881904	h	0.46260357403662056	SetD/063a.jpg	correct
foil	k	3.1402809489518404	h	1.9761681510135531	SetC/093a.jpg	correct
targ	h	3.5015017359983176	h	0.7711386330192909	SetC/142a.jpg	correct
targ	h	3.8641356739681214	j	1.228271485073492	SetD/137a.jpg	correct
