stim,type,encoding_trials_block.thisRepN,encoding_trials_block.thisTrialN,encoding_trials_block.thisN,encoding_trials_block.thisIndex,rcg_block.thisRepN,rcg_block.thisTrialN,rcg_block.thisN,rcg_block.thisIndex,welcome_text.started,welcome_text.stopped,welcome_resp.keys,welcome_resp.rt,welcome_resp.started,welcome_resp.stopped,fixation.started,fixation.stopped,encoding_img.started,encoding_img.stopped,recognition_img.started,recognition_img.stopped,recognition_img_resp.keys,recognition_img_resp.rt,recognition_img_resp.started,recognition_img_resp.stopped,recognition_resp_prompt_main.started,recognition_resp_prompt_main.stopped,recognition_resp_prompt_options.started,recognition_resp_prompt_options.stopped,confidence_resp_prompt_main.started,confidence_resp_prompt_main.stopped,confidence_ratebar.started,confidence_ratebar.stopped,confidence_resp.keys,confidence_resp.started,confidence_resp.stopped,confidence_resp.rt,participant,date,expName,psychopyVersion,frameRate,
SetC/145a.jpg,,0,25,25,25,,,,,,,,,,,109.93379963700136,None,110.43354255199665,None,,,,,,,,,,,,,,,,,,,40023,2022_Jul_13_1556,mstfoil,2022.1.3,60.174211079947014,
SetD/027a.jpg,,0,26,26,26,,,,,,,,,,,112.43355797699769,None,112.93427121199784,None,,,,,,,,,,,,,,,,,,,40023,2022_Jul_13_1556,mstfoil,2022.1.3,60.174211079947014,
SetC/052a.jpg,,0,27,27,27,,,,,,,,,,,114.93499471499672,None,115.42206176699983,None,,,,,,,,,,,,,,,,,,,40023,2022_Jul_13_1556,mstfoil,2022.1.3,60.174211079947014,
SetD/010a.jpg,,0,28,28,28,,,,,,,,,,,117.43431188799877,None,117.91871035600343,None,,,,,,,,,,,,,,,,,,,40023,2022_Jul_13_1556,mstfoil,2022.1.3,60.174211079947014,
SetD/003a.jpg,,0,29,29,29,,,,,,,,,,,119.91979015299876,None,120.41926482500276,None,,,,,,,,,,,,,,,,,,,40023,2022_Jul_13_1556,mstfoil,2022.1.3,60.174211079947014,
SetD/096a.jpg,,0,30,30,30,,,,,,,,,,,122.4222306369993,None,122.92279048499768,None,,,,,,,,,,,,,,,,,,,40023,2022_Jul_13_1556,mstfoil,2022.1.3,60.174211079947014,
SetC/089a.jpg,,0,31,31,31,,,,,,,,,,,124.9201137400014,None,125.41957625200303,None,,,,,,,,,,,,,,,,,,,40023,2022_Jul_13_1556,mstfoil,2022.1.3,60.174211079947014,
SetD/106a.jpg,,0,32,32,32,,,,,,,,,,,127.42082932899939,None,127.9210345629981,None,,,,,,,,,,,,,,,,,,,40023,2022_Jul_13_1556,mstfoil,2022.1.3,60.174211079947014,
SetC/030a.jpg,,0,33,33,33,,,,,,,,,,,129.92229070699977,None,130.42200428700016,None,,,,,,,,,,,,,,,,,,,40023,2022_Jul_13_1556,mstfoil,2022.1.3,60.174211079947014,
SetD/101a.jpg,,0,34,34,34,,,,,,,,,,,132.42150767699786,None,132.92158915400069,None,,,,,,,,,,,,,,,,,,,40023,2022_Jul_13_1556,mstfoil,2022.1.3,60.174211079947014,
SetC/118a.jpg,,0,35,35,35,,,,,,,,,,,134.92254991299706,None,135.42284275300335,None,,,,,,,,,,,,,,,,,,,40023,2022_Jul_13_1556,mstfoil,2022.1.3,60.174211079947014,
SetC/028a.jpg,,0,36,36,36,,,,,,,,,,,137.4238236020028,None,137.92377252200095,None,,,,,,,,,,,,,,,,,,,40023,2022_Jul_13_1556,mstfoil,2022.1.3,60.174211079947014,
SetC/117a.jpg,,0,37,37,37,,,,,,,,,,,139.9242640989978,None,140.42387242100085,None,,,,,,,,,,,,,,,,,,,40023,2022_Jul_13_1556,mstfoil,2022.1.3,60.174211079947014,
SetC/168a.jpg,,0,38,38,38,,,,,,,,,,,142.42420941100136,None,142.92472690399882,None,,,,,,,,,,,,,,,,,,,40023,2022_Jul_13_1556,mstfoil,2022.1.3,60.174211079947014,
SetD/111a.jpg,,0,39,39,39,,,,,,,,,,,144.92582084400055,None,145.4251065060016,None,,,,,,,,,,,,,,,,,,,40023,2022_Jul_13_1556,mstfoil,2022.1.3,60.174211079947014,
SetC/047a.jpg,,0,40,40,40,,,,,,,,,,,147.42533139300212,None,147.9260822540018,None,,,,,,,,,,,,,,,,,,,40023,2022_Jul_13_1556,mstfoil,2022.1.3,60.174211079947014,
SetD/142a.jpg,,0,41,41,41,,,,,,,,,,,149.9267975870025,None,150.42620367200288,None,,,,,,,,,,,,,,,,,,,40023,2022_Jul_13_1556,mstfoil,2022.1.3,60.174211079947014,
SetD/126a.jpg,,0,42,42,42,,,,,,,,,,,152.42685302899918,None,152.928285107002,None,,,,,,,,,,,,,,,,,,,40023,2022_Jul_13_1556,mstfoil,2022.1.3,60.174211079947014,
SetD/122a.jpg,,0,43,43,43,,,,,,,,,,,154.92851813200105,None,155.42731480499788,None,,,,,,,,,,,,,,,,,,,40023,2022_Jul_13_1556,mstfoil,2022.1.3,60.174211079947014,
SetD/105a.jpg,,0,44,44,44,,,,,,,,,,,157.42871912699775,None,157.92888729999686,None,,,,,,,,,,,,,,,,,,,40023,2022_Jul_13_1556,mstfoil,2022.1.3,60.174211079947014,
SetD/170a.jpg,,0,45,45,45,,,,,,,,,,,159.9298146650035,None,160.42895701600355,None,,,,,,,,,,,,,,,,,,,40023,2022_Jul_13_1556,mstfoil,2022.1.3,60.174211079947014,
SetD/056a.jpg,,0,46,46,46,,,,,,,,,,,162.42957236000075,None,162.92966680399695,None,,,,,,,,,,,,,,,,,,,40023,2022_Jul_13_1556,mstfoil,2022.1.3,60.174211079947014,
SetD/154a.jpg,,0,47,47,47,,,,,,,,,,,164.93056893599714,None,165.43094794300123,None,,,,,,,,,,,,,,,,,,,40023,2022_Jul_13_1556,mstfoil,2022.1.3,60.174211079947014,
SetC/187a.jpg,targ,,,,,0,0,0,0,,,,,,,226.130032052999,None,,,226.6294562490002,None,k,18.704432718004682,226.6294562490002,None,226.6294562490002,None,226.6294562490002,None,245.3514473920004,None,245.3514473920004,None,None,245.3514473920004,None,,40023,2022_Jul_13_1556,mstfoil,2022.1.3,60.174211079947014,
